,Time,Current,Voltage,Ramp
1046,1876567.3093184507,1.0747486214941085e-07,0.3352124767130712,0
1047,1877817.520717064,1.0749029300413444e-07,0.3360073408416982,0
1048,1879067.732115677,1.0751063202319781e-07,0.336800646669093,0
1049,1880317.9435142905,1.0765215933921287e-07,0.3376202098729678,0
1050,1881568.154912904,1.076839621321689e-07,0.3384217830297846,0
1051,1882818.3663115168,1.0771014647668415e-07,0.3392124462643126,0
1052,1884068.5777101305,1.0786317283063683e-07,0.3400326349377831,0
1053,1885318.789108744,1.0790290865726013e-07,0.3408276883585729,0
1054,1886569.0005073568,1.0792050779790229e-07,0.3416155868157908,0
1055,1887819.21190597,1.0806112213134668e-07,0.3424253879910771,0
1056,1889069.4233045832,1.080844070248657e-07,0.3432152495000306,0
1057,1890319.6347031964,1.0811055572497884e-07,0.3440021494227683,0
1058,1891569.8461018093,1.0825534667107409e-07,0.3448137726072552,0
1059,1892820.0575004227,1.082866767097803e-07,0.3456091463569073,0
1060,1894070.268899036,1.0832369058934425e-07,0.3464020963878553,0
1061,1895320.4802976488,1.0847144050975582e-07,0.3472234379582283,0
1062,1896570.6916962625,1.0851523165265477e-07,0.3480273775118382,0
1063,1897820.903094876,1.0855009190795583e-07,0.3488242563138731,0
1064,1899071.1144934888,1.0870355303787637e-07,0.3496399265855057,0
1065,1900321.3258921024,1.0873153379111789e-07,0.3504372437629709,0
1066,1901571.537290716,1.0876149979098041e-07,0.3512243888545397,0
1067,1902821.7486893283,1.089186926317856e-07,0.3520376042409314,0
1068,1904071.9600879413,1.0895482888037994e-07,0.3528307897163052,0
1069,1905322.1714865551,1.0900049704666377e-07,0.353621950189502,0
1070,1906572.3828851683,1.091640707124391e-07,0.354436462812896,0
1071,1907822.5942837808,1.0919710913592575e-07,0.3552303627830203,0
1072,1909072.805682395,1.0923977889072315e-07,0.3560178449186938,0
1073,1910323.017081008,1.0939480337169895e-07,0.3568320556289882,0
1074,1911573.2284796208,1.0945078844383129e-07,0.3576310846866528,0
1075,1912823.4398782344,1.0949861704726073e-07,0.3584258863667926,0
1076,1914073.651276848,1.096679479576876e-07,0.3592475844499795,0
1077,1915323.8626754608,1.0971986918479079e-07,0.360055669230814,0
1078,1916574.074074074,1.097587322767597e-07,0.3608568137627586,0
1079,1917824.285472688,1.0992294277053597e-07,0.3616800630687848,0
1080,1919074.4968713005,1.0996771012624333e-07,0.3624867531491076,0
1081,1920324.7082699137,1.1001159757509269e-07,0.3632856071458763,0
1082,1921574.919668527,1.1018824525548274e-07,0.3641170186549566,0
1083,1922825.13106714,1.1034985340032887e-07,0.3649475903260041,0
1084,1924075.3424657527,1.1038066577365733e-07,0.3657576439941263,0
1085,1925325.5538643664,1.1039551602670369e-07,0.3665562874049912,0
1086,1926575.76526298,1.1055726935878253e-07,0.3673822148919998,0
1087,1927825.9766615927,1.1059497905750865e-07,0.3681888173929798,0
1088,1929076.1880602064,1.1061283103609413e-07,0.3689846420243616,0
1089,1930326.3994588195,1.1077035302219933e-07,0.3698083300350061,0
1090,1931576.6108574327,1.108102703843168e-07,0.3706111083949264,0
1091,1932826.822256046,1.1085878501541509e-07,0.3714041522211274,0
1092,1934077.0336546595,1.110359741832461e-07,0.3722262531831645,0
1093,1935327.2450532725,1.1109458127996843e-07,0.3730253809591191,0
1094,1936577.4564518856,1.1113710152772321e-07,0.3738194464431202,0
1095,1937827.6678504995,1.1129653119660686e-07,0.3746331251771744,0
1096,1939077.879249112,1.1134680795312757e-07,0.3754327584357096,0
1097,1940328.0906477247,1.113869241305478e-07,0.3762260865216668,0
1098,1941578.3020463383,1.115574719401999e-07,0.3770415582725034,0
1099,1942828.513444952,1.1161864944154553e-07,0.3778410719539456,0
1100,1944078.724843565,1.1165739798805053e-07,0.3786338821499497,0
1101,1945328.9362421783,1.1183356874447673e-07,0.3794496546153917,0
